Nomor,Kategori Pemeriksaan ,Spesimen ,Nama Pemeriksaan ,Permintaan/Hasil,Tipe Hasil Pemeriksaan,Kode ,Nama Pemeriksaan ,Code System ,Version First Released (DTO),Version Last Changed (DTO),First Released Date,Last Changed Date
381,Patologi Molekuler ,Jaringan lainnya ,Pemeriksaan HPV genotyping 33 subtipe jaringan lainnya ,Permintaan & Hasil,Naratif ,PA099776,Pemeriksaan HPV genotyping 33 subtipe jaringan lainnya ,http://terminology.kemkes.go.id/CodeSystem/examination,1.0,1.0,01/02/2024,01/02/2024
382,Patologi Molekuler ,"Jaringan telinga, hidung, mulut ","Pemeriksaan EBER-ISH jaringan telinga, hidung, mulut ",Permintaan & Hasil,Naratif ,PA099777,"Pemeriksaan EBER-ISH jaringan telinga, hidung, mulut ",http://terminology.kemkes.go.id/CodeSystem/examination,1.0,1.0,01/02/2024,01/02/2024
383,Patologi Molekuler ,Jaringan retikuloendotelial,Pemeriksaan EBER-ISH jaringan retikuloendotelial,Permintaan & Hasil,Naratif ,PA099778,Pemeriksaan EBER-ISH jaringan retikuloendotelial,http://terminology.kemkes.go.id/CodeSystem/examination,1.0,1.0,01/02/2024,01/02/2024
384,Patologi Molekuler ,Jaringan lainnya ,Pemeriksaan EBER-ISH jaringan lainnya ,Permintaan & Hasil,Naratif ,PA099779,Pemeriksaan EBER-ISH jaringan lainnya ,http://terminology.kemkes.go.id/CodeSystem/examination,1.0,1.0,01/02/2024,01/02/2024
385,Patologi Molekuler ,Jaringan payudara ,Pemeriksaan HER2-ISH jaringan payudara ,Permintaan & Hasil,Naratif ,PA099780,Pemeriksaan HER2-ISH jaringan payudara ,http://terminology.kemkes.go.id/CodeSystem/examination,1.0,1.0,01/02/2024,01/02/2024
386,Patologi Molekuler ,Jaringan lainnya ,Pemeriksaan HER2-ISH jaringan lainnya ,Permintaan & Hasil,Naratif ,PA099781,Pemeriksaan HER2-ISH jaringan lainnya ,http://terminology.kemkes.go.id/CodeSystem/examination,1.0,1.0,01/02/2024,01/02/2024
387,Patologi Molekuler ,Jaringan dan cairan tubuh ,Pemeriksaan ISH lainnya,Permintaan & Hasil,Naratif ,PA099782,Pemeriksaan ISH lainnya,http://terminology.kemkes.go.id/CodeSystem/examination,1.0,1.0,01/02/2024,01/02/2024
388,Patologi Molekuler ,Jaringan paru,Pemeriksaan deteksi mutasi EGFR jaringan paru,Permintaan & Hasil,Naratif ,PA099783,Pemeriksaan deteksi mutasi EGFR jaringan paru,http://terminology.kemkes.go.id/CodeSystem/examination,1.0,1.0,01/02/2024,01/02/2024
389,Patologi Molekuler ,Jaringan lainnya ,Pemeriksaan deteksi mutasi EGFR jaringan lainnya ,Permintaan & Hasil,Naratif ,PA099784,Pemeriksaan deteksi mutasi EGFR jaringan lainnya ,http://terminology.kemkes.go.id/CodeSystem/examination,1.0,1.0,01/02/2024,01/02/2024
390,Patologi Molekuler ,Jaringan gastrointestinal ,Pemeriksaan deteksi mutasi BRAF,Permintaan & Hasil,Naratif ,PA099785,Pemeriksaan deteksi mutasi BRAF,http://terminology.kemkes.go.id/CodeSystem/examination,1.0,1.0,01/02/2024,01/02/2024
391,Patologi Molekuler ,Jaringan lainnya,Pemeriksaan deteksi mutasi BRAF,Permintaan & Hasil,Naratif ,PA099786,Pemeriksaan deteksi mutasi BRAF,http://terminology.kemkes.go.id/CodeSystem/examination,1.0,1.0,01/02/2024,01/02/2024
392,Patologi Molekuler ,Jaringan gastrointestinal ,Pemeriksaan deteksi mutasi KRAS,Permintaan & Hasil,Naratif ,PA099787,Pemeriksaan deteksi mutasi KRAS,http://terminology.kemkes.go.id/CodeSystem/examination,1.0,1.0,01/02/2024,01/02/2024
393,Patologi Molekuler ,Jaringan lainnya,Pemeriksaan deteksi mutasi KRAS,Permintaan & Hasil,Naratif ,PA099788,Pemeriksaan deteksi mutasi KRAS,http://terminology.kemkes.go.id/CodeSystem/examination,1.0,1.0,01/02/2024,01/02/2024
394,Patologi Molekuler ,Jaringan gastrointestinal ,Pemeriksaan deteksi mutasi NRAS,Permintaan & Hasil,Naratif ,PA099789,Pemeriksaan deteksi mutasi NRAS,http://terminology.kemkes.go.id/CodeSystem/examination,1.0,1.0,01/02/2024,01/02/2024
395,Patologi Molekuler ,Jaringan lainnya,Pemeriksaan deteksi mutasi NRAS,Permintaan & Hasil,Naratif ,PA099790,Pemeriksaan deteksi mutasi NRAS,http://terminology.kemkes.go.id/CodeSystem/examination,1.0,1.0,01/02/2024,01/02/2024
396,Patologi Molekuler ,Jaringan gastrointestinal ,Pemeriksaan deteksi mutasi All-RAS (KRAS & NRAS),Permintaan & Hasil,Naratif ,PA099791,Pemeriksaan deteksi mutasi All-RAS (KRAS & NRAS),http://terminology.kemkes.go.id/CodeSystem/examination,1.0,1.0,01/02/2024,01/02/2024
397,Patologi Molekuler ,Jaringan lainnya,Pemeriksaan deteksi mutasi All-RAS (KRAS & NRAS),Permintaan & Hasil,Naratif ,PA099792,Pemeriksaan deteksi mutasi All-RAS (KRAS & NRAS),http://terminology.kemkes.go.id/CodeSystem/examination,1.0,1.0,01/02/2024,01/02/2024
398,Patologi Molekuler ,Jaringan dan cairan tubuh ,Pemeriksaan deteksi mutasi PIK3CA,Permintaan & Hasil,Naratif ,PA099793,Pemeriksaan deteksi mutasi PIK3CA,http://terminology.kemkes.go.id/CodeSystem/examination,1.0,1.0,01/02/2024,01/02/2024
399,Patologi Molekuler ,Jaringan sistem saraf pusat,Pemeriksaan deteksi mutasi IDH1/2,Permintaan & Hasil,Naratif ,PA099794,Pemeriksaan deteksi mutasi IDH1/2,http://terminology.kemkes.go.id/CodeSystem/examination,1.0,1.0,01/02/2024,01/02/2024
400,Patologi Molekuler ,Jaringan lainnya,Pemeriksaan deteksi mutasi IDH1/2,Permintaan & Hasil,Naratif ,PA099795,Pemeriksaan deteksi mutasi IDH1/2,http://terminology.kemkes.go.id/CodeSystem/examination,1.0,1.0,01/02/2024,01/02/2024
401,Patologi Molekuler ,Jaringan gastrointestinal ,Pemeriksaan deteksi mutasi MSI,Permintaan & Hasil,Naratif ,PA099796,Pemeriksaan deteksi mutasi MSI,http://terminology.kemkes.go.id/CodeSystem/examination,1.0,1.0,01/02/2024,01/02/2024
402,Patologi Molekuler ,Jaringan dan cairan tubuh ,Pemeriksaan deteksi mutasi/hiperekspresi gen sarkoma,Permintaan & Hasil,Naratif ,PA099797,Pemeriksaan deteksi mutasi/hiperekspresi gen sarkoma,http://terminology.kemkes.go.id/CodeSystem/examination,1.0,1.0,01/02/2024,01/02/2024
403,Patologi Molekuler ,Jaringan sistem saraf pusat,Pemeriksaan deteksi mutasi 1p/19q codeletion,Permintaan & Hasil,Naratif ,PA099798,Pemeriksaan deteksi mutasi 1p/19q codeletion,http://terminology.kemkes.go.id/CodeSystem/examination,1.0,1.0,01/02/2024,01/02/2024
404,Patologi Molekuler ,Jaringan lainnya,Pemeriksaan deteksi mutasi 1p/19q codeletion,Permintaan & Hasil,Naratif ,PA099799,Pemeriksaan deteksi mutasi 1p/19q codeletion,http://terminology.kemkes.go.id/CodeSystem/examination,1.0,1.0,01/02/2024,01/02/2024
405,Patologi Molekuler ,Jaringan gastrointestinal ,MLH1 promoter methylation jaringan gastrointestinal ,Permintaan & Hasil,Naratif ,PA099800,MLH1 promoter methylation jaringan gastrointestinal ,http://terminology.kemkes.go.id/CodeSystem/examination,1.0,1.0,01/02/2024,01/02/2024
406,Patologi Molekuler ,Jaringan lainnya,MLH1 promoter methylation jaringan lainnya,Permintaan & Hasil,Naratif ,PA099801,MLH1 promoter methylation jaringan lainnya,http://terminology.kemkes.go.id/CodeSystem/examination,1.0,1.0,01/02/2024,01/02/2024
407,Patologi Molekuler ,Jaringan dan cairan tubuh ,Deteksi mutasi lainnya,Permintaan & Hasil,Naratif ,PA099802,Deteksi mutasi lainnya,http://terminology.kemkes.go.id/CodeSystem/examination,1.0,1.0,01/02/2024,01/02/2024
408,Autopsi klinik ,Jaringan ,Autopsi klinik jaringan ,Permintaan & Hasil,Naratif ,PA099803,Autopsi klinik jaringan ,http://terminology.kemkes.go.id/CodeSystem/examination,1.0,1.0,01/02/2024,01/02/2024
